"country","species","indoor_host","outdoor_host","combined_host","host_unit","indoor_biting","outdoor_biting","indoor_outdoor_biting_units","combined_1830_2130","combined_2130_0030","combined_0030_0330","combined_0330_0630","citation"
"Lao People's Democratic Republic","Anopheles aconitus",NA,1.17,NA,"AI",NA,NA,"","","","","","Toma, T., Miyagi, I., Okazawa, T., Kobayashi, J., Saita, S., Tuzuki, A., Keomanila, H., Nambanya, S., Phompida, S., Uza, M. and Takakura, M. (2002).  Entomological surveys of malaria in Khammouane Province, Lao PDR, in 1999 and 2000. The Southeast Asian Journal of Tropical Medicine and Public Health, 33(3):532-46"
"Lao People's Democratic Republic","Anopheles culicifacies complex",NA,3.66,NA,"AI",NA,NA,"","","","","","Toma, T., Miyagi, I., Okazawa, T., Kobayashi, J., Saita, S., Tuzuki, A., Keomanila, H., Nambanya, S., Phompida, S., Uza, M. and Takakura, M. (2002).  Entomological surveys of malaria in Khammouane Province, Lao PDR, in 1999 and 2000. The Southeast Asian Journal of Tropical Medicine and Public Health, 33(3):532-46"
"Lao People's Democratic Republic","Maculatus Group",NA,5.59,NA,"AI",NA,NA,"","","","","","Toma, T., Miyagi, I., Okazawa, T., Kobayashi, J., Saita, S., Tuzuki, A., Keomanila, H., Nambanya, S., Phompida, S., Uza, M. and Takakura, M. (2002).  Entomological surveys of malaria in Khammouane Province, Lao PDR, in 1999 and 2000. The Southeast Asian Journal of Tropical Medicine and Public Health, 33(3):532-46"
"Lao People's Democratic Republic","Anopheles minimus complex",NA,3.54,NA,"AI",NA,NA,"","","","","","Toma, T., Miyagi, I., Okazawa, T., Kobayashi, J., Saita, S., Tuzuki, A., Keomanila, H., Nambanya, S., Phompida, S., Uza, M. and Takakura, M. (2002).  Entomological surveys of malaria in Khammouane Province, Lao PDR, in 1999 and 2000. The Southeast Asian Journal of Tropical Medicine and Public Health, 33(3):532-46"
"China","Anopheles minimus (formerly Sp. A)",25,NA,NA,"HBI (%)",NA,NA,"","","","","","Yu, G., Yan, G., Zhang, N., Zhong, D., Wang, Y., He, Z., Yan, Z., Fu, W., Yang, F. and Chen, B. (2013).  The Anopheles community and the role of Anopheles minimus on malaria transmission on the China-Myanmar border. Parasites & Vectors, 6(1):264"
"Myanmar","Anopheles minimus (formerly Sp. A)",86,NA,NA,"HBI (%)",NA,NA,"","","","","","Yu, G., Yan, G., Zhang, N., Zhong, D., Wang, Y., He, Z., Yan, Z., Fu, W., Yang, F. and Chen, B. (2013).  The Anopheles community and the role of Anopheles minimus on malaria transmission on the China-Myanmar border. Parasites & Vectors, 6(1):264"
"Myanmar","Anopheles minimus (formerly Sp. A)",84,NA,NA,"HBI (%)",NA,NA,"","","","","","Yu, G., Yan, G., Zhang, N., Zhong, D., Wang, Y., He, Z., Yan, Z., Fu, W., Yang, F. and Chen, B. (2013).  The Anopheles community and the role of Anopheles minimus on malaria transmission on the China-Myanmar border. Parasites & Vectors, 6(1):264"
"Thailand","Anopheles aconitus",NA,11.11,NA,"HBI (%calc)",NA,NA,"","","","","","Rattanarithikul, R., Konishi, E. and Linthicum, K.J. (1996).  Observations on nocturnal biting activity and host preference of anophelines collected in southern Thailand. Journal of the American Mosquito Control Association, 12(1):52-7"
"Thailand","Anopheles culicifacies complex",NA,0,NA,"HBI (%calc)",NA,NA,"","","","","","Rattanarithikul, R., Konishi, E. and Linthicum, K.J. (1996).  Observations on nocturnal biting activity and host preference of anophelines collected in southern Thailand. Journal of the American Mosquito Control Association, 12(1):52-7"
"Thailand","Anopheles maculatus",NA,0,NA,"HBI (%calc)",NA,NA,"","","","","","Rattanarithikul, R., Konishi, E. and Linthicum, K.J. (1996).  Observations on nocturnal biting activity and host preference of anophelines collected in southern Thailand. Journal of the American Mosquito Control Association, 12(1):52-7"
"Thailand","Anopheles minimus complex",NA,7.69,NA,"HBI (%calc)",NA,NA,"","","","","","Rattanarithikul, R., Konishi, E. and Linthicum, K.J. (1996).  Observations on nocturnal biting activity and host preference of anophelines collected in southern Thailand. Journal of the American Mosquito Control Association, 12(1):52-7"
"Thailand","Anopheles barbirostris complex",NA,3.23,NA,"HBI (%calc)",NA,NA,"","","","","","Rattanarithikul, R., Konishi, E. and Linthicum, K.J. (1996).  Observations on nocturnal biting activity and host preference of anophelines collected in southern Thailand. Journal of the American Mosquito Control Association, 12(1):52-7"
"Bangladesh","Anopheles annularis complex",50,33.33,NA,"HBI (%)",NA,NA,"","","","","","Bashar, K., Tuno, N., Ahmed, T.U. and Howlader, A.J. (2012).  Blood-feeding patterns of Anopheles mosquitoes in a malaria-endemic area of Bangladesh. Parasites & Vectors, 5(1):39"
"Bangladesh","Anopheles dirus complex",66.67,100,NA,"HBI (%)",NA,NA,"","","","","","Bashar, K., Tuno, N., Ahmed, T.U. and Howlader, A.J. (2012).  Blood-feeding patterns of Anopheles mosquitoes in a malaria-endemic area of Bangladesh. Parasites & Vectors, 5(1):39"
